date,day,meals_prepared,meals_consumed,temperature,rainfall,is_holiday,is_weekend,special_event,food_cost_per_meal
2025-01-01,Wednesday,518,494,32.5,1.9,0,0,0,60
2025-01-02,Thursday,722,625,28.8,5.2,0,0,1,60
2025-01-03,Friday,560,506,27.7,7.3,0,0,0,60
2025-01-04,Saturday,410,361,20.4,9.5,0,1,0,60
2025-01-05,Sunday,429,361,37.3,1.2,0,1,0,60
2025-01-06,Monday,578,523,30.6,0.0,0,0,0,60
2025-01-07,Tuesday,384,340,29.9,0.0,1,0,0,60
2025-01-08,Wednesday,571,489,23.9,25.2,0,0,0,60
2025-01-09,Thursday,548,497,33.7,4.4,0,0,0,60
2025-01-10,Friday,549,486,28.5,9.2,0,0,0,60
2025-01-11,Saturday,223,203,31.6,0.0,1,1,0,60
2025-01-12,Sunday,447,422,33.1,7.7,0,1,0,60
2025-01-13,Monday,532,488,25.8,0.5,0,0,0,60
2025-01-14,Tuesday,494,437,29.1,12.4,0,0,0,60
2025-01-15,Wednesday,560,499,31.8,0.0,0,0,0,60
2025-01-16,Thursday,643,573,37.8,0.0,0,0,1,60
2025-01-17,Friday,574,536,30.5,0.0,0,0,0,60
2025-01-18,Saturday,473,389,27.4,1.3,0,1,0,60
2025-01-19,Sunday,486,402,34.6,5.6,0,1,0,60
2025-01-20,Monday,570,516,34.8,0.5,0,0,0,60
2025-01-21,Tuesday,313,284,31.5,5.1,1,0,0,60
2025-01-22,Wednesday,571,495,27.9,6.6,0,0,0,60
2025-01-23,Thursday,494,452,31.3,2.4,0,0,0,60
2025-01-24,Friday,531,489,29.9,3.8,0,0,0,60
2025-01-25,Saturday,467,428,29.0,5.4,0,1,0,60
2025-01-26,Sunday,496,434,33.8,0.0,0,1,0,60
2025-01-27,Monday,352,281,25.0,0.0,1,0,0,60
2025-01-28,Tuesday,508,477,30.3,7.3,0,0,0,60
2025-01-29,Wednesday,605,520,26.1,0.4,0,0,0,60
2025-01-30,Thursday,614,523,23.8,13.9,0,0,0,60
2025-01-31,Friday,603,513,31.3,9.3,0,0,0,60
2025-02-01,Saturday,521,430,31.5,7.9,0,1,0,60
2025-02-02,Sunday,338,266,31.5,0.0,1,1,0,60
2025-02-03,Monday,555,476,32.4,8.9,0,0,0,60
2025-02-04,Tuesday,534,493,34.8,6.3,0,0,0,60
2025-02-05,Wednesday,514,454,26.2,10.0,0,0,0,60
2025-02-06,Thursday,528,433,28.7,24.8,0,0,0,60
2025-02-07,Friday,606,518,32.4,2.0,0,0,0,60
2025-02-08,Saturday,499,405,25.8,0.0,0,1,0,60
2025-02-09,Sunday,543,444,23.8,8.0,0,1,0,60
2025-02-10,Monday,575,527,30.3,0.0,0,0,0,60
2025-02-11,Tuesday,512,419,35.3,10.2,0,0,0,60
2025-02-12,Wednesday,574,483,32.6,33.8,0,0,0,60
2025-02-13,Thursday,484,462,33.3,0.0,0,0,0,60
